SCIENTIFIC_NAME	COMMON_NAME	SPECIES_CODE	CATEGORY	TAXON_ORDER	COM_NAME_CODES	SCI_NAME_CODES	BANDING_CODES	ORDER	FAMILY_COM_NAME	FAMILY_SCI_NAME	REPORT_AS	EXTINCT	EXTINCT_YEAR	FAMILY_CODE
Struthio camelus	Common Ostrich	ostric2	species	2	COOS	STCA	NA	Struthioniformes	Ostriches	Struthionidae	NA	NA	NA	struth1
Struthio molybdophanes	Somali Ostrich	ostric3	species	7	SOOS	STMO	NA	Struthioniformes	Ostriches	Struthionidae	NA	NA	NA	struth1
Struthio camelus/molybdophanes	Common/Somali Ostrich	y00934	slash	8	SOOS COOS	STMO STCA	NA	Struthioniformes	Ostriches	Struthionidae	NA	NA	NA	struth1
Rhea americana	Greater Rhea	grerhe1	species	10	GRRH	RHAM	NA	Rheiformes	Rheas	Rheidae	NA	NA	NA	rheida1
Rhea pennata	Lesser Rhea	lesrhe2	species	16	LERH	RHPE	NA	Rheiformes	Rheas	Rheidae	NA	NA	NA	rheida1
Rhea pennata tarapacensis/garleppi	Lesser Rhea (Puna)	lesrhe4	issf	17	LERH	RHPE	NA	Rheiformes	Rheas	Rheidae	lesrhe2	NA	NA	rheida1
Rhea pennata pennata	Lesser Rhea (Darwin's)	lesrhe3	issf	20	LERH	RHPE	NA	Rheiformes	Rheas	Rheidae	lesrhe2	NA	NA	rheida1
Nothocercus julius	Tawny-breasted Tinamou	tabtin1	species	22	TBTI	NOJU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothocercus bonapartei	Highland Tinamou	higtin1	species	23	NA	NOBO	HITI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothocercus bonapartei [bonapartei Group]	Highland Tinamou (South American)	higtin2	issf	24	HITI	NOBO	NA	Tinamiformes	Tinamous	Tinamidae	higtin1	NA	NA	tinami1
Nothocercus bonapartei frantzii	Highland Tinamou (Costa Rican)	higtin3	issf	29	HITI	NOBO	NA	Tinamiformes	Tinamous	Tinamidae	higtin1	NA	NA	tinami1
Nothocercus nigrocapillus	Hooded Tinamou	hootin1	species	30	HOTI	NONI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus tao	Gray Tinamou	grytin1	species	33	GRTI	TITA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus solitarius	Solitary Tinamou	soltin1	species	38	SOTI	TISO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus osgoodi	Black Tinamou	blatin1	species	39	BLTI	TIOS	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus major	Great Tinamou	gretin1	species	42	NA	TIMA	GRTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus guttatus	White-throated Tinamou	whttin1	species	55	WTTI	TIGU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus sp.	Tinamus sp.	tinamu1	spuh	56	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus cinereus	Cinereous Tinamou	cintin1	species	57	CITI	CRCI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus berlepschi	Berlepsch's Tinamou	bertin1	species	58	BETI	CRBE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus soui	Little Tinamou	littin1	species	59	NA	CRSO	LITI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus ptaritepui	Tepui Tinamou	teptin1	species	74	TETI	CRPT	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus obsoletus	Brown Tinamou	brotin1	species	75	BRTI	CROB	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus obsoletus castaneus	Brown Tinamou (castaneus)	brntin1	issf	76	BRTI	CROB	NA	Tinamiformes	Tinamous	Tinamidae	brotin1	NA	NA	tinami1
Crypturellus obsoletus [obsoletus Group]	Brown Tinamou (Brown)	brntin2	issf	77	BRTI	CROB	NA	Tinamiformes	Tinamous	Tinamidae	brotin1	NA	NA	tinami1
Crypturellus undulatus	Undulated Tinamou	undtin1	species	86	UNTI	CRUN	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus transfasciatus	Pale-browed Tinamou	pabtin1	species	93	PBTI	CRTR	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus strigulosus	Brazilian Tinamou	bratin1	species	94	BRTI	CRST	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus duidae	Gray-legged Tinamou	gyltin1	species	95	GLTI	CRDU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus erythropus	Red-legged Tinamou	reltin1	species	96	RLTI	CRER	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus noctivagus	Yellow-legged Tinamou	yeltin1	species	104	YLTI	CRNO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus noctivagus zabele	Yellow-legged Tinamou (zabele)	yeltin2	issf	105	YLTI	CRNO	NA	Tinamiformes	Tinamous	Tinamidae	yeltin1	NA	NA	tinami1
Crypturellus noctivagus noctivagus	Yellow-legged Tinamou (noctivagus)	yeltin3	issf	106	YLTI	CRNO	NA	Tinamiformes	Tinamous	Tinamidae	yeltin1	NA	NA	tinami1
Crypturellus atrocapillus	Black-capped Tinamou	blctin1	species	107	BCTI	CRAT	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus boucardi	Slaty-breasted Tinamou	slbtin1	species	110	NA	CRBO	SBTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus kerriae	Choco Tinamou	chotin1	species	113	NA	CRKE	CHTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus variegatus	Variegated Tinamou	vartin1	species	114	VATI	CRVA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus cinnamomeus	Thicket Tinamou	thitin1	species	115	ETTI	CRCI	THTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus cinnamomeus occidentalis	Thicket Tinamou (occidentalis)	thitin2	issf	116	ETTI THTI	CRCI	NA	Tinamiformes	Tinamous	Tinamidae	thitin1	NA	NA	tinami1
Crypturellus cinnamomeus [cinnamomeus Group]	Thicket Tinamou (cinnamomeus Group)	thitin3	issf	117	ETTI THTI	CRCI	NA	Tinamiformes	Tinamous	Tinamidae	thitin1	NA	NA	tinami1
Crypturellus brevirostris	Rusty Tinamou	rustin1	species	126	RUTI	CRBR	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus bartletti	Bartlett's Tinamou	bartin2	species	127	BATI	CRBA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus parvirostris	Small-billed Tinamou	smbtin1	species	128	SBTI	CRPA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus casiquiare	Barred Tinamou	bartin1	species	129	BATI	CRCA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus tataupa	Tataupa Tinamou	tattin1	species	130	TATI	CRTA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus sp.	Crypturellus sp.	cryptu1	spuh	135	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Rhynchotus rufescens	Red-winged Tinamou	rewtin1	species	136	RWTI	RHRU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Rhynchotus maculicollis	Huayco Tinamou	huatin1	species	140	HUTI	RHMA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta taczanowskii	Taczanowski's Tinamou	tactin1	species	141	TATI	NOTA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta ornata	Ornate Tinamou	orntin1	species	142	ORTI	NOOR	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta perdicaria	Chilean Tinamou	chitin1	species	146	CHTI	NOPE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta cinerascens	Brushland Tinamou	brutin1	species	149	BRTI	NOCI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta pentlandii	Andean Tinamou	andtin1	species	152	ANTI	NOPE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta curvirostris	Curve-billed Tinamou	cubtin1	species	161	CBTI	NOCU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta sp.	Nothoprocta sp.	nothop1	spuh	164	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura boraquira	White-bellied Nothura	whbnot1	species	165	WBNO	NOBO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura minor	Lesser Nothura	lesnot1	species	166	LENO	NOMI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura darwinii	Darwin's Nothura	darnot1	species	167	DANO	NODA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura maculosa	Spotted Nothura	sponot1	species	173	SPNO	NOMA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura boraquira/maculosa	White-bellied/Spotted Nothura	y01225	slash	183	WBNO SPNO	NOMA NOBO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura minor/maculosa	Lesser/Spotted Nothura	y01226	slash	184	SPNO LENO	NOMI NOMA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Taoniscus nanus	Dwarf Tinamou	dwatin1	species	185	DWTI	TANA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Eudromia elegans	Elegant Crested-Tinamou	elctin1	species	186	ELCT ECTI	EUEL	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Eudromia formosa	Quebracho Crested-Tinamou	quctin1	species	197	QCTI QUCT	EUFO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamotis pentlandii	Puna Tinamou	puntin1	species	200	PUTI	TIPE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamotis ingoufi	Patagonian Tinamou	pattin1	species	201	PATI	TIIN	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamidae sp.	tinamou sp.	tinamo1	spuh	202	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Casuarius casuarius	Southern Cassowary	soucas1	species	204	SOCA	CACA	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Casuarius bennetti	Dwarf Cassowary	dwacas1	species	205	DWCA	CABE	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Casuarius unappendiculatus	Northern Cassowary	norcas1	species	206	NOCA	CAUN	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Dromaius novaehollandiae	Emu	emu1	species	207	EMU COEM	DRNO	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Apteryx australis	Southern Brown Kiwi	sobkiw1	species	213	SBKI	APAU	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx australis australis	Southern Brown Kiwi (South I.)	sobkiw2	issf	214	SBKI	APAU	NA	Apterygiformes	Kiwis	Apterygidae	sobkiw1	NA	NA	aptery1
Apteryx australis lawryi	Southern Brown Kiwi (Stewart I.)	sobkiw3	issf	215	SBKI	APAU	NA	Apterygiformes	Kiwis	Apterygidae	sobkiw1	NA	NA	aptery1
Apteryx rowi	Okarito Brown Kiwi	okbkiw1	species	216	OBKI OKKI	APRO	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx mantelli	North Island Brown Kiwi	nibkiw1	species	217	NIBK	APMA	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx owenii	Little Spotted Kiwi	liskiw1	species	218	LSKI	APOW	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx rowi x owenii	Okarito Brown x Little Spotted Kiwi (hybrid)	x01059	hybrid	219	OBKI LSKI OKKI	APOW APRO	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx haastii	Great Spotted Kiwi	grskiw1	species	220	GSKI	APHA	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx sp.	kiwi sp.	kiwi1	spuh	221	NA	NA	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Anhima cornuta	Horned Screamer	horscr1	species	223	HOSC	ANCO	NA	Anseriformes	Screamers	Anhimidae	NA	NA	NA	anhimi1
Chauna torquata	Southern Screamer	souscr1	species	224	SOSC	CHTO	NA	Anseriformes	Screamers	Anhimidae	NA	NA	NA	anhimi1
Chauna chavaria	Northern Screamer	norscr1	species	225	NOSC	CHCH	NA	Anseriformes	Screamers	Anhimidae	NA	NA	NA	anhimi1
Anseranas semipalmata	Magpie Goose	maggoo1	species	227	MAGO	ANSE	NA	Anseriformes	Magpie Goose	Anseranatidae	NA	NA	NA	ansera1
Dendrocygna guttata	Spotted Whistling-Duck	spwduc1	species	229	SPWD SWDU	DEGU	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna eytoni	Plumed Whistling-Duck	plwduc1	species	230	PLWD PWDU	DEEY	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna viduata	White-faced Whistling-Duck	wfwduc1	species	231	NA	DEVI	WFWD	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna guttata x viduata	Spotted x White-faced Whistling-Duck (hybrid)	x00721	hybrid	232	WFWD SPWD SWDU	DEGU DEVI	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna autumnalis	Black-bellied Whistling-Duck	bbwduc	species	233	NA	DEAU	BBWD	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna autumnalis fulgens	Black-bellied Whistling-Duck (fulgens)	bkbwhd1	issf	234	BBWD	DEAU	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	bbwduc	NA	NA	anatid1
Dendrocygna autumnalis autumnalis	Black-bellied Whistling-Duck (autumnalis)	bkbwhd2	issf	235	BBWD	DEAU	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	bbwduc	NA	NA	anatid1
Dendrocygna arborea	West Indian Whistling-Duck	wiwduc1	species	236	NA	DEAR	WIWD	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna autumnalis x arborea	Black-bellied x West Indian Whistling-Duck (hybrid)	x00775	hybrid	237	BBWD WIWD	DEAR DEAU	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna bicolor	Fulvous Whistling-Duck	fuwduc	species	238	FWDU	DEBI	FUWD	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna viduata x bicolor	White-faced x Fulvous Whistling-Duck (hybrid)	x00938	hybrid	239	WFWD FUWD FWDU	DEBI DEVI	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna autumnalis x bicolor	Black-bellied x Fulvous Whistling-Duck (hybrid)	x00875	hybrid	240	FUWD BBWD FWDU	DEAU DEBI	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna arcuata	Wandering Whistling-Duck	wawduc1	species	241	WWDU WAWD	DEAR	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna eytoni x arcuata	Plumed x Wandering Whistling-Duck (hybrid)	x00990	hybrid	245	WWDU PLWD PWDU WAWD	DEAR DEEY	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna eytoni/arcuata	Plumed/Wandering Whistling-Duck	y01227	slash	246	WWDU PLWD PWDU WAWD	DEAR DEEY	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna javanica	Lesser Whistling-Duck	lewduc1	species	247	LEWD LWDU	DEJA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna bicolor/javanica	Fulvous/Lesser Whistling-Duck	y01080	slash	248	FWDU FUWD LEWD LWDU	DEBI DEJA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna arcuata x javanica	Wandering x Lesser Whistling-Duck (hybrid)	x00360	hybrid	249	WWDU LEWD WAWD LWDU	DEAR DEJA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Dendrocygna sp.	whistling-duck sp.	whistl1	spuh	250	NA	NA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Thalassornis leuconotus	White-backed Duck	whbduc1	species	251	WBDU	THLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser indicus	Bar-headed Goose	bahgoo	species	254	BHGO	ANIN	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser canagicus	Emperor Goose	empgoo	species	255	NA	ANCA	EMGO	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser caerulescens	Snow Goose	snogoo	species	256	NA	ANCA	SNGO	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser indicus x caerulescens	Bar-headed x Snow Goose (hybrid)	x00991	hybrid	259	BHGO SNGO	ANIN ANCA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser rossii	Ross's Goose	rosgoo	species	260	NA	ANRO	ROGO	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser caerulescens x rossii	Snow x Ross's Goose (hybrid)	sxrgoo1	hybrid	261	SNGO ROGO	ANRO ANCA	SRGH	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser caerulescens/rossii	Snow/Ross's Goose	y00469	slash	262	SNGO ROGO	ANRO ANCA	SRGO	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser anser	Graylag Goose	gragoo	species	263	NA	ANAN	GRGO	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser anser anser	Graylag Goose (European)	gragoo2	issf	264	GRGO	ANAN	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gragoo	NA	NA	anatid1
Anser anser rubrirostris	Graylag Goose (Siberian)	gragoo3	issf	265	GRGO	ANAN	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gragoo	NA	NA	anatid1
Anser anser (Domestic type)	Graylag Goose (Domestic type)	gragoo1	domestic	266	GRGO	ANAN	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gragoo	NA	NA	anatid1
Anser indicus x anser	Bar-headed x Graylag Goose (hybrid)	x00992	hybrid	267	BHGO GRGO	ANIN ANAN	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser cygnoides	Swan Goose	swagoo1	species	268	SWGO	ANCY	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser cygnoides (Domestic type)	Swan Goose (Domestic type)	swagoo2	domestic	269	SWGO	ANCY	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	swagoo1	NA	NA	anatid1
Anser anser x cygnoides	Graylag x Swan Goose (hybrid)	x00776	hybrid	270	GRGO SWGO	ANAN ANCY	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser albifrons	Greater White-fronted Goose	gwfgoo	species	271	NA	ANAL	GWFG	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser albifrons flavirostris	Greater White-fronted Goose (Greenland)	gwfgoo1	issf	272	GWFG	ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gwfgoo	NA	NA	anatid1
Anser albifrons albifrons	Greater White-fronted Goose (Eurasian)	gwfgoo4	issf	273	GWFG	ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gwfgoo	NA	NA	anatid1
Anser albifrons gambelli/sponsa	Greater White-fronted Goose (Western)	gwfgoo2	issf	274	GWFG	ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gwfgoo	NA	NA	anatid1
Anser albifrons elgasi	Greater White-fronted Goose (Tule)	gwfgoo3	issf	277	GWFG	ANAL	TWFG	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	gwfgoo	NA	NA	anatid1
Anser indicus x albifrons	Bar-headed x Greater White-fronted Goose (hybrid)	x00755	hybrid	278	GWFG BHGO	ANIN ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser canagicus x albifrons	Emperor x Greater White-fronted Goose (hybrid)	x00361	hybrid	279	GWFG EMGO	ANCA ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser caerulescens x albifrons	Snow x Greater White-fronted Goose (hybrid)	x00627	hybrid	280	GWFG SNGO	ANCA ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser rossii x albifrons	Ross's x Greater White-fronted Goose (hybrid)	x00362	hybrid	281	GWFG ROGO	ANRO ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser erythropus	Lesser White-fronted Goose	lwfgoo	species	282	NA	ANER	LWFG	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser albifrons/erythropus	Greater/Lesser White-fronted Goose	y00707	slash	283	GWFG LWFG	ANER ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser fabalis	Taiga Bean-Goose	taibeg1	species	284	BEGO TBGO	ANFA	TABG	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser serrirostris	Tundra Bean-Goose	tunbeg1	species	288	BEGO TBGO	ANSE	TUBG	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser albifrons x serrirostris	Greater White-fronted Goose x Tundra Bean-Goose (hybrid)	x01089	hybrid	291	GWFG TBGO TUBG BEGO	ANSE ANAL	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser fabalis/serrirostris	Taiga/Tundra Bean-Goose	y00468	slash	292	TUBG TBGO BEGO TABG	ANSE ANFA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser brachyrhynchus	Pink-footed Goose	pifgoo	species	293	NA	ANBR	PFGO	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser sp. (Domestic type)	Domestic goose sp. (Domestic type)	domgoo1	domestic	294	DGSP	NA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser sp.	Anser sp.	anser1	spuh	295	NA	NA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Branta bernicla	Brant	brant	species	296	BRGO	BRBE	BRAN	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Branta bernicla bernicla	Brant (Dark-bellied)	dabbra1	issf	297	BRAN BRGO	BRBE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	brant	NA	NA	anatid1
Branta bernicla hrota	Brant (Atlantic)	atlbra1	issf	298	BRAN BRGO	BRBE	ATBR	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	brant	NA	NA	anatid1
Branta bernicla nigricans	Brant (Black)	blkbra1	issf	299	BRAN BRGO	BRBE	BLBR	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	brant	NA	NA	anatid1
Branta bernicla (Gray-bellied)	Brant (Gray-bellied)	gybbra1	form	300	BRAN BRGO	BRBE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	brant	NA	NA	anatid1
Branta bernicla bernicla x nigricans	Brant (Dark-bellied x Black)	brant2	intergrade	301	BRAN BRGO	BRBE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	brant	NA	NA	anatid1
Branta bernicla hrota x nigricans	Brant (Atlantic x Black)	brant1	intergrade	302	BRAN BRGO	BRBE	BABI	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	brant	NA	NA	anatid1
Anser caerulescens x Branta bernicla	Snow Goose x Brant (hybrid)	x00685	hybrid	303	SNGO BRAN BRGO	BRBE ANCA	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Branta leucopsis	Barnacle Goose	bargoo	species	304	BAGO	BRLE	BARG	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser indicus x Branta leucopsis	Bar-headed x Barnacle Goose (hybrid)	x00363	hybrid	305	BAGO BHGO BARG	ANIN BRLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser canagicus x Branta leucopsis	Emperor x Barnacle Goose (hybrid)	x00993	hybrid	306	EMGO BAGO BARG	ANCA BRLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser caerulescens x Branta leucopsis	Snow x Barnacle Goose (hybrid)	x00994	hybrid	307	BAGO SNGO BARG	ANCA BRLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser rossii x Branta leucopsis	Ross's x Barnacle Goose (hybrid)	x00995	hybrid	308	BAGO BARG ROGO	ANRO BRLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser anser x Branta leucopsis	Graylag x Barnacle Goose (hybrid)	x00649	hybrid	309	BAGO GRGO BARG	ANAN BRLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
Anser albifrons x Branta leucopsis	Greater White-fronted x Barnacle Goose (hybrid)	x00757	hybrid	310	GWFG BAGO BARG	ANAL BRLE	NA	Anseriformes	Ducks, Geese, and Waterfowl	Anatidae	NA	NA	NA	anatid1
